Gender,breakfast,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,exercise,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,marital_status,mother_profession,parents_cook,pay_meal_out,soup,sports,type_sports,veggies_day,vitamins,weight
Male,Cereal,nan,315,creamy frapuccino,none,we dont have comfort ,none,A couple of times a week ,nan,eat good and exercise,healthy/balanced/moderated/,Orange Juice,eat faster ,worse,eat faster,2-3 times ,no,Everyday,profesor ,Arabic cuisine,Arabic/Turkish,cooked at home ,home fries,very likely ,Sophomore ,2,looks not oily ,being healthy ,unclear,"$70,001 to $100,000 ",very likely ,very likely ,Single,unemployed,Almost everyday ,$5.01 to $10.00 ,veggie soup,Yes,car racing,very likely,yes,187
Female,Cereal,it is moderately important ,420,espresso shown,"chocolate, chips, ice cream","Stress, bored, anger",stress,"Whenever I can, but that is not very often  ",American,I eat about three times a day with some snacks. I try to eat healthy but it doesn't always work out that- sometimes eat fast food and mainly eat at Laker/ Egan ,unhealthy/cheap/too much/random/,Soda,I eat out more than usual. ,worse,bigger quantity,1-2 times ,yes part time ,Everyday,Self employed ,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,Senior,5,"Grains, Veggies, (more of grains and veggies), small protein and fruit with dairy ","Try to eat 5-6 small meals a day. While trying to properly distribute carbs, protein, fruits, veggies, and dairy.  ",balance,"$50,001 to $70,000 ",likely,likely ,In a relationship ,Nurse RN ,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,Basketball ,likely,no,155
Female,Cereal,it is very important,420,espresso shown,"frozen yogurt, pizza, fast food","stress, sadness",stress,Every day ,Korean/Asian,"toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner",the same thing over and over,Orange Juice,sometimes choosing to eat fast food instead of cooking simply for convenience,worse,worse quality ,1-2 times ,no,Twice or three times per week ,owns business,italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Junior,6,usually includes natural ingredients; nonprocessed food,i would say my ideal diet is my current diet,current diet,"higher than $100,000",very likely ,very likely ,In a relationship ,owns business,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,none,very likely,yes,I'm not answering this. 
Female,Cereal,it is moderately important ,420,espresso shown,"Pizza, Mac and cheese, ice cream",Boredom,boredom,A couple of times a week ,Mexican/Spanish,"College diet, cheap and easy foods most nights. Weekends traditionally, cook better homemade meals  ",unhealthy/cheap/too much/random/,Soda,Accepting cheap and premade/store bought foods,worse,worse quality ,1-2 times ,no,Once a week,Mechanic ,Turkish ,Arabic/Turkish,cooked at home ,home fries,likely ,Senior,7,"Fresh fruits& vegetables, organic meats ","Healthy, fresh veggies/fruits & organic foods ",adding veggies/eating healthier food/adding fruit,"higher than $100,000",very likely ,very likely ,In a relationship ,Special Education Teacher,Almost everyday ,$5.01 to $10.00 ,veggie soup,No,nan,neutral ,yes,"Not sure, 240"
Female,Cereal,it is not at all important,420,espresso shown,"Ice cream, chocolate, chips ","Stress, boredom, cravings ",stress,Every day ,Mexican/Spanish,I try to eat healthy but often struggle because of living on campus. I still try to keep the choices I do make balanced with fruits and vegetables and limit the sweats. ,unhealthy/cheap/too much/random/,Soda,I have eaten generally the same foods but I do find myself eating the same food frequently due to what I have found I like from egan and the laker. ,the same,same food,1-2 times ,yes part time ,Everyday,IT,Italian ,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,likely ,Senior,6,"A lean protein such as grilled chicken, green vegetables and  brown rice or other whole grain ",Ideally I would like to be able to eat healthier foods in order to loose weight. ,adding veggies/eating healthier food/adding fruit,"higher than $100,000",unlikely,very likely ,Single,Substance Abuse Conselor,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,Softball,likely,no,190
Female,Cereal,it is moderately important ,980,espresso shown,"Candy, brownies and soda.","None, i don't eat comfort food. I just eat when i'm hungry.",hunger,"Whenever I can, but that is not very often  ",nan,My current diet is terrible. I barely have time to eat a meal in a day. When i do eat it's mostly not healthy.,unhealthy/cheap/too much/random/,Soda,Eating rice everyday. Eating less homemade food.,worse,worse quality ,Never,no,Twice or three times per week ,Taxi Driver,African,African ,both bought at store and cooked at home,Mcdonald’s fries,unlikely ,Sophomore ,4,"Requires veggies, fruits and a cooked meal. ",My ideal diet is to eat 3 times a day including breakfast on time. Eat healthy food. ,adding veggies/eating healthier food/adding fruit,"less than $15,000 ",very likely ,very likely ,In a relationship ,Hair Braider,2-3 times a week ,$30.01 to $40.00 ,veggie soup,No,None.,very unlikely ,no,190
Male,Cereal,it is moderately important ,420,espresso shown,"Chocolate, ice cream, french fries, pretzels","stress, boredom",stress,A couple of times a week ,American,"I eat a lot of chicken and broccoli for dinner, and usually tuna sandwiches for lunch.",the same thing over and over,Orange Juice,I started eating a lot less and healthier because I wasn't playing sports year round anymore.,better,healthier,1-2 times ,no,Everyday,Assembler ,Thai,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,likely ,Senior,4,"Protein, vegetables, fruit, and some carbs","I would ideally like to eat more fresh fruits and vegetables. However, its difficult to get to the store all the time to buy fresh.",adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",very likely ,very likely ,Single,Journalist,2-3 times a week ,$5.01 to $10.00 ,veggie soup,Yes,soccer,likely,yes,180
Female,Cereal,it is moderately important ,420,creamy frapuccino,"Ice cream, cheeseburgers, chips.","I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.",stress,"Whenever I can, but that is not very often  ",American,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food.",healthy/balanced/moderated/,Soda,"Freshmen year i ate very unhealthy, but now it is much healthier because of self control.",better,healthier,1-2 times ,yes part time ,Twice or three times per week ,Business guy,Anything american style.,American,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,3,A healthy meal has a piece of meat followed by a lot of fruit and veggies,My ideal diet is filled with a lot of fruit and chicken. I also really enjoy eggs any type of way with toast.,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",very unlikely ,neutral,Single,cook,Almost everyday ,$30.01 to $40.00 ,veggie soup,No,none,likely,no,137
Female,Cereal,nan,420,creamy frapuccino,"Donuts, ice cream, chips",Boredom ,boredom,"Whenever I can, but that is not very often  ",American,I eat whatever I want in moderation.,healthy/balanced/moderated/,Orange Juice,I snack less,better,less food,every day,yes part time ,nan,High School Principal,Seafood,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,likely ,freshman ,7,Colorful,The same as it is now.,current diet,"$70,001 to $100,000 ",very likely ,very likely ,In a relationship ,Elementary School Teacher,2-3 times a week ,$10.01 to $20.00 ,creamy soup,No,none,neutral ,no,180
Female,Cereal,it is moderately important ,315,espresso shown,"Mac and cheese, chocolate, and pasta ","Stress, anger and sadness ",stress,"Whenever I can, but that is not very often  ",American,"I eat healthy all the time when possible. I treat myself occasionally. I don't really like the greasy meals, if anything I would eat sweets over the greasy meals.  ",healthy/balanced/moderated/,Orange Juice,I cook a lot of my own foods back at home so not being able to cook my own healthy choices. I eat more carbs than normal when I'm at college due to the choices given in the cafe. ,worse,worse quality ,2-3 times ,no,Everyday,commissioner of erie county ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,freshman ,3,Chicken and rice with a side of veggies. ,"Lots of protein, carbs, and fruits and veggies. ",adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",likely,very likely ,In a relationship ,Pharmaceutical rep,1-2 times a week ,$10.01 to $20.00 ,veggie soup,Yes,field hockey,very likely,yes,125
Female,Cereal,it is moderately important ,980,espresso shown,"Pasta, grandma homemade chocolate cake anything homemade ",Boredom ,boredom,Every day ,American,i eat very healthy. Maybe eat out 1-2 times a week.,healthy/balanced/moderated/,Soda,Nun ,the same,same food,1-2 times ,yes full time ,Everyday,Idk,Orange chicken and chow mani noodles ,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,very likely ,Junior,9,"Chicken, and veggies ","Chicken, fish ",more protein,"$30,001 to $50,000 ",very unlikely ,very likely ,Single,Chidos Cleaners,Almost everyday ,$5.01 to $10.00 ,veggie soup,Yes,soccer,very likely,no,116
Female,Cereal,it is very important,420,espresso shown,"chocolate, pasta, soup, chips, popcorn","sadness, stress, cold weather",depression/sadness,"Whenever I can, but that is not very often  ",American,"I am very health concious. I eat many fruits, veggies, and protiens. ",healthy/balanced/moderated/,Orange Juice,Less meat. ,unclear,healthier,Never,yes part time ,Everyday,Home Marker ,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,1,"lean protein, veggies, fruit, complex carbs",More healthy varienty. ,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",very likely ,very likely ,In a relationship ,Court Reporter ,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Running,very likely,yes,110
Male,Cereal,it is moderately important ,420,espresso shown,"Cookies, popcorn, and chips","Sadness, boredom, late night snack ",depression/sadness,"Never, I really do not know my way around a kitchen",American,I focus mostly on proteins and fruits. I eat a lot less vegetables and a few carbohydrates.,healthy/balanced/moderated/,Soda,I have been eating a lot more salads and soups.,better,healthier,Never,no,Once a week,Shirt designer ,Chinese ,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,likely ,freshman ,9,A salad with a reasonable amount of dressing and a meat.,My ideal diet would be the proper portions of all food categories. I would also like to eat proteins around my workouts and avoid all deserts.,portion control,"$70,001 to $100,000 ",neutral,likely ,In a relationship ,Child care provider ,2-3 times a week ,$5.01 to $10.00 ,creamy soup,Yes,Soccer and basketball ,neutral ,no,264
Female,Cereal,it is moderately important ,420,espresso shown,"ice cream, cake, chocolate","stress,  boredom, special occasions",stress,A couple of times a week ,American,Not as healthy when I am at school compared to home. Still very aware of the nutrition I am taking in.,unhealthy/cheap/too much/random/,Soda,not as healthy because healthy food goes bad quickly and it is expensive,worse,worse quality ,3-5 times ,yes part time ,Twice or three times per week ,business owner,italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Junior,8,Lots of vegetabls with some grains like rice. Also has lean meat such as fish or chicken.,organic/healthy. fruits and vegetables but still protein to give sustainance. ,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",neutral,very likely ,In a relationship ,business owner,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,intramural volleyball,very likely,no,123
Male,Cereal,it is moderately important ,420,espresso shown,"Pizza, fruit, spaghetti, chicken and Potatoes  ","Friends, environment and boredom",boredom,"Whenever I can, but that is not very often  ",American,"Making sure I have enough protein intake, as well with fibre, vitamins and carbs. ",healthy/balanced/moderated/,Soda,"I knew I would eat alot my freshmen year, before coming to college i had a diet plan. ",the same,same food,1-2 times ,no,Twice or three times per week ,Commidity trader ,Chinese ,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Junior,2,Green and not greasy,"Eat a little less than I usually do, and intaking more protein. ",portion control,"$70,001 to $100,000 ",unlikely,neutral,Single,Charity worker,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,Hockey,very likely,yes,185
Male,Donut,nan,980,espresso shown,"cookies, donuts, candy bars",boredom,boredom,I only help a little during holidays ,American,I like a lot of foods that arent home cooked or healthy for you.,unhealthy/cheap/too much/random/,Soda,none,the same,same food,3-5 times ,no,Everyday,Hockey Coach,italian food,Italian/French/greek,store bought ,Mcdonald’s fries,neutral ,freshman ,6,"chicken, veggies, rice",I wish I ate lots of healthy foods like veggies and salads. ,adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",very unlikely ,very likely ,In a relationship ,Librarian,2-3 times a week ,$10.01 to $20.00 ,creamy soup,Yes,Hockey,very unlikely ,no,180
Female,Cereal,it is moderately important ,420,creamy frapuccino,"Saltfish, Candy and Kit Kat ",Stress ,stress,"Whenever I can, but that is not very often  ",nan,I eat very healthy ,healthy/balanced/moderated/,Orange Juice,More Water ,better,healthier,Never,yes part time ,Twice or three times per week ,Construction ,Jamaican ,Jamaican,cooked at home ,Mcdonald’s fries,very likely ,freshman ,7,"Not too much carbs, a lot of protein, healthy fats and fruits and vegs ",Vegetables and Fruits with Meat ,adding veggies/eating healthier food/adding fruit,"less than $15,000 ",very likely ,neutral,In a relationship ,Police,2-3 times a week ,$5.01 to $10.00 ,veggie soup,No,nan,very likely,yes,145
